section,model,prompt_mode,speedup,waste,hit_rate,ci95_low,ci95_high
all_modes,GPT-2,all,1.533,0.350,,1.47,1.60
all_modes,Gemma-2B-IT,all,1.475,0.114,,1.42,1.53
all_modes,Phi-3-mini-4k,all,1.338,0.125,,1.29,1.38
all_modes,TinyLlama-1.1B,all,1.275,0.106,,1.24,1.31
all_modes,Qwen2.5-1.5B,all,1.204,0.083,,1.18,1.23
model_mode,GPT-2,raw,1.566,0.000,0.000,,
model_mode,GPT-2,templated,1.474,0.783,0.037,,
model_mode,GPT-2,semantic,1.558,0.267,0.000,,
model_mode,TinyLlama,raw,1.217,0.050,0.000,,
model_mode,TinyLlama,templated,1.392,0.050,0.691,,
model_mode,TinyLlama,semantic,1.217,0.217,0.559,,
model_mode,Qwen2.5,raw,1.160,0.083,0.000,,
model_mode,Qwen2.5,templated,1.326,0.000,0.860,,
model_mode,Qwen2.5,semantic,1.127,0.167,0.680,,
model_mode,Gemma-2B,raw,1.359,0.200,0.000,,
model_mode,Gemma-2B,templated,1.670,0.000,0.929,,
model_mode,Gemma-2B,semantic,1.396,0.142,0.663,,
model_mode,Phi-3-mini,raw,1.227,0.367,0.000,,
model_mode,Phi-3-mini,templated,1.587,0.000,0.919,,
model_mode,Phi-3-mini,semantic,1.209,0.004,0.716,,

