job_index	model_slug	model	rep	dataset	mode	baseline	seed	baseline_position	model_position	block_index	block_key
1	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	dolly	templated	sglang_radix_attention	20263060	1	1	1	block_01:3:dolly:templated
2	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	dolly	templated	sglang_radix_attention_shadowkv_plus	20263060	2	1	1	block_01:3:dolly:templated
3	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	dolly	templated	lmcache_no_native_radix	20263060	3	1	1	block_01:3:dolly:templated
4	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	xsum	rag	lmcache_no_native_radix	20262081	1	1	2	block_02:2:xsum:rag
5	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	xsum	rag	sglang_radix_attention	20262081	2	1	2	block_02:2:xsum:rag
6	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	xsum	rag	sglang_radix_attention_shadowkv_plus	20262081	3	1	2	block_02:2:xsum:rag
7	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	dolly	rag	sglang_radix_attention_shadowkv_plus	20263061	1	1	3	block_03:3:dolly:rag
8	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	dolly	rag	sglang_radix_attention	20263061	2	1	3	block_03:3:dolly:rag
9	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	dolly	rag	lmcache_no_native_radix	20263061	3	1	3	block_03:3:dolly:rag
10	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	xsum	templated	sglang_radix_attention	20262080	1	1	4	block_04:2:xsum:templated
11	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	xsum	templated	lmcache_no_native_radix	20262080	2	1	4	block_04:2:xsum:templated
12	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	xsum	templated	sglang_radix_attention_shadowkv_plus	20262080	3	1	4	block_04:2:xsum:templated
13	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20263001	1	1	5	block_05:3:daily_dialog:rag
14	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	daily_dialog	rag	lmcache_no_native_radix	20263001	2	1	5	block_05:3:daily_dialog:rag
15	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	daily_dialog	rag	sglang_radix_attention	20263001	3	1	5	block_05:3:daily_dialog:rag
16	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	daily_dialog	rag	lmcache_no_native_radix	20262001	1	1	6	block_06:2:daily_dialog:rag
17	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20262001	2	1	6	block_06:2:daily_dialog:rag
18	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	daily_dialog	rag	sglang_radix_attention	20262001	3	1	6	block_06:2:daily_dialog:rag
19	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	ag_news	rag	lmcache_no_native_radix	20262041	1	1	7	block_07:2:ag_news:rag
20	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	ag_news	rag	sglang_radix_attention	20262041	2	1	7	block_07:2:ag_news:rag
21	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	ag_news	rag	sglang_radix_attention_shadowkv_plus	20262041	3	1	7	block_07:2:ag_news:rag
22	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	xsum	rag	sglang_radix_attention	20263081	1	1	8	block_08:3:xsum:rag
23	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	xsum	rag	lmcache_no_native_radix	20263081	2	1	8	block_08:3:xsum:rag
24	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	xsum	rag	sglang_radix_attention_shadowkv_plus	20263081	3	1	8	block_08:3:xsum:rag
25	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	ag_news	rag	sglang_radix_attention_shadowkv_plus	20261041	1	1	9	block_09:1:ag_news:rag
26	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	ag_news	rag	sglang_radix_attention	20261041	2	1	9	block_09:1:ag_news:rag
27	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	ag_news	rag	lmcache_no_native_radix	20261041	3	1	9	block_09:1:ag_news:rag
28	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	daily_dialog	rag	lmcache_no_native_radix	20261001	1	1	10	block_10:1:daily_dialog:rag
29	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	daily_dialog	rag	sglang_radix_attention_shadowkv_plus	20261001	2	1	10	block_10:1:daily_dialog:rag
30	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	daily_dialog	rag	sglang_radix_attention	20261001	3	1	10	block_10:1:daily_dialog:rag
31	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	samsum	templated	sglang_radix_attention_shadowkv_plus	20261020	1	1	11	block_11:1:samsum:templated
32	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	samsum	templated	lmcache_no_native_radix	20261020	2	1	11	block_11:1:samsum:templated
33	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	samsum	templated	sglang_radix_attention	20261020	3	1	11	block_11:1:samsum:templated
34	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	xsum	templated	sglang_radix_attention	20261080	1	1	12	block_12:1:xsum:templated
35	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	xsum	templated	sglang_radix_attention_shadowkv_plus	20261080	2	1	12	block_12:1:xsum:templated
36	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	xsum	templated	lmcache_no_native_radix	20261080	3	1	12	block_12:1:xsum:templated
37	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	ag_news	rag	sglang_radix_attention_shadowkv_plus	20263041	1	1	13	block_13:3:ag_news:rag
38	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	ag_news	rag	lmcache_no_native_radix	20263041	2	1	13	block_13:3:ag_news:rag
39	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	ag_news	rag	sglang_radix_attention	20263041	3	1	13	block_13:3:ag_news:rag
40	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	samsum	templated	lmcache_no_native_radix	20263020	1	1	14	block_14:3:samsum:templated
41	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	samsum	templated	sglang_radix_attention_shadowkv_plus	20263020	2	1	14	block_14:3:samsum:templated
42	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	samsum	templated	sglang_radix_attention	20263020	3	1	14	block_14:3:samsum:templated
43	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	dolly	templated	lmcache_no_native_radix	20261060	1	1	15	block_15:1:dolly:templated
44	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	dolly	templated	sglang_radix_attention	20261060	2	1	15	block_15:1:dolly:templated
45	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	dolly	templated	sglang_radix_attention_shadowkv_plus	20261060	3	1	15	block_15:1:dolly:templated
46	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	ag_news	templated	sglang_radix_attention_shadowkv_plus	20261040	1	1	16	block_16:1:ag_news:templated
47	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	ag_news	templated	sglang_radix_attention	20261040	2	1	16	block_16:1:ag_news:templated
48	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	ag_news	templated	lmcache_no_native_radix	20261040	3	1	16	block_16:1:ag_news:templated
49	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	daily_dialog	templated	sglang_radix_attention	20261000	1	1	17	block_17:1:daily_dialog:templated
